"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",42427912.99999999,2024
"Africa","af","Egypt","afegy","egy",200677941,2024
"Africa","af","Libya","aflby","lby",1811449.9999999998,2024
"Africa","af","Morocco","afmar","mar",1303057053,2024
"Africa","af","Sudan","afsdn","sdn",8348756,2024
"Africa","af","Tunisia","aftun","tun",151714914,2024
"Africa","af","Burundi","afbdi","bdi",621858,2024
"Africa","af","Comoros","afcom","com",1908263,2024
"Africa","af","Djibouti","afdji","dji",5903552,2024
"Africa","af","Eritrea","aferi","eri",355882,2024
"Africa","af","Ethiopia","afeth","eth",10190284.999999998,2024
"Africa","af","Kenya","afken","ken",46150852,2024
"Africa","af","Madagascar","afmdg","mdg",47241072,2024
"Africa","af","Mozambique","afmoz","moz",25498381,2024
"Africa","af","Mauritius","afmus","mus",6326659,2024
"Africa","af","Malawi","afmwi","mwi",6683323,2024
"Africa","af","Rwanda","afrwa","rwa",1641766,2024
"Africa","af","Somalia","afsom","som",5494861,2024
"Africa","af","South Sudan","afssd","ssd",1733014,2024
"Africa","af","Seychelles","afsyc","syc",678161,2024
"Africa","af","Tanzania","aftza","tza",39269815,2024
"Africa","af","Uganda","afuga","uga",26617912.999999996,2024
"Africa","af","Angola","afago","ago",32994349,2024
"Africa","af","Central African Republic","afcaf","caf",1824912,2024
"Africa","af","Cameroon","afcmr","cmr",38470707.00000001,2024
"Africa","af","Democratic Republic of the Congo","afcod","cod",24809818,2024
"Africa","af","Republic of the Congo","afcog","cog",1604611,2024
"Africa","af","Gabon","afgab","gab",1837463,2024
"Africa","af","Equatorial Guinea","afgnq","gnq",3129746,2024
"Africa","af","Sao Tome and Principe","afstp","stp",343280,2024
"Africa","af","Chad","aftcd","tcd",6541418.000000001,2024
"Africa","af","Botswana","afbwa","bwa",5301773,2024
"Africa","af","Lesotho","aflso","lso",379373,2024
"Africa","af","Namibia","afnam","nam",39542447,2024
"Africa","af","Eswatini","afswz","swz",1008753,2024
"Africa","af","South Africa","afzaf","zaf",409575611,2024
"Africa","af","Zambia","afzmb","zmb",51243178,2024
"Africa","af","Zimbabwe","afzwe","zwe",38002739,2024
"Africa","af","Benin","afben","ben",9335461,2024
"Africa","af","Burkina Faso","afbfa","bfa",23564460,2024
"Africa","af","Cote d'Ivoire","afciv","civ",26868702.000000004,2024
"Africa","af","Cape Verde","afcpv","cpv",5361723,2024
"Africa","af","Ghana","afgha","gha",33909416,2024
"Africa","af","Guinea","afgin","gin",10662213,2024
"Africa","af","Gambia","afgmb","gmb",3393998,2024
"Africa","af","GuineaBissau","afgnb","gnb",548761,2024
"Africa","af","Liberia","aflbr","lbr",2851602,2024
"Africa","af","Mali","afmli","mli",25212065,2024
"Africa","af","Mauritania","afmrt","mrt",7024826,2024
"Africa","af","Niger","afner","ner",8586063,2024
"Africa","af","Nigeria","afnga","nga",221926074,2024
"Africa","af","Senegal","afsen","sen",55504463,2024
"Africa","af","Saint Helena","afshn","shn",65513.00000000001,2024
"Africa","af","Sierra Leone","afsle","sle",12605781,2024
"Africa","af","Togo","aftgo","tgo",20577345,2024
"Asia","as","Kazakhstan","askaz","kaz",25531147,2024
"Asia","as","Kyrgyzstan","askgz","kgz",12337336,2024
"Asia","as","Tajikistan","astjk","tjk",2545059,2024
"Asia","as","Turkmenistan","astkm","tkm",2020192,2024
"Asia","as","Uzbekistan","asuzb","uzb",339904728,2024
"Asia","as","China","aschn","chn",11703402205,2024
"Asia","as","Hong Kong","ashkg","hkg",16221615646,2024
"Asia","as","Japan","asjpn","jpn",3356967200,2024
"Asia","as","South Korea","askor","kor",4548749670,2024
"Asia","as","Macau","asmac","mac",36857630,2024
"Asia","as","Mongolia","asmng","mng",8286900,2024
"Asia","as","North Korea","asprk","prk",85,2024
"Asia","as","Chinese Taipei","astwn","twn",2661608830,2024
"Asia","as","Brunei","asbrn","brn",3543967,2024
"Asia","as","Cocos (Keeling) Islands","ascck","cck",17562,2024
"Asia","as","Christmas Island","ascxr","cxr",29217.000000000004,2024
"Asia","as","Indonesia","asidn","idn",718708865,2024
"Asia","as","Cambodia","askhm","khm",335460670.99999994,2024
"Asia","as","Laos","aslao","lao",32491919,2024
"Asia","as","Burma","asmmr","mmr",67261006,2024
"Asia","as","Malaysia","asmys","mys",3590275410,2024
"Asia","as","Philippines","asphl","phl",1757292373,2024
"Asia","as","Singapore","assgp","sgp",5425644672,2024
"Asia","as","Thailand","astha","tha",2184393699,2024
"Asia","as","TimorLeste","astls","tls",113039,2024
"Asia","as","Vietnam","asvnm","vnm",2975733964,2024
"Asia","as","Afghanistan","asafg","afg",61782046,2024
"Asia","as","Bangladesh","asbgd","bgd",124024624,2024
"Asia","as","Bhutan","asbtn","btn",3819958,2024
"Asia","as","India","asind","ind",6103336715,2024
"Asia","as","Iran","asirn","irn",78750291,2024
"Asia","as","Sri Lanka","aslka","lka",53742474,2024
"Asia","as","Maldives","asmdv","mdv",19749925,2024
"Asia","as","Nepal","asnpl","npl",4234565,2024
"Asia","as","Pakistan","aspak","pak",2154540129,2024
"Asia","as","United Arab Emirates","asare","are",608924057,2024
"Asia","as","Armenia","asarm","arm",69773693,2024
"Asia","as","Azerbaijan","asaze","aze",5432179,2024
"Asia","as","Bahrain","asbhr","bhr",8757064.000000002,2024
"Asia","as","Georgia","asgeo","geo",15577217.999999998,2024
"Asia","as","Iraq","asirq","irq",53521365,2024
"Asia","as","Israel","asisr","isr",406516230,2024
"Asia","as","Jordan","asjor","jor",75092513,2024
"Asia","as","Kuwait","askwt","kwt",7085495,2024
"Asia","as","Lebanon","aslbn","lbn",74237646,2024
"Asia","as","Oman","asomn","omn",286846388,2024
"Asia","as","Palestine","aspse","pse",367861,2024
"Asia","as","Qatar","asqat","qat",58376504.00000001,2024
"Asia","as","Saudi Arabia","assau","sau",1779171684,2024
"Asia","as","Syria","assyr","syr",9486422,2024
"Asia","as","Turkey","astur","tur",923021185,2024
"Asia","as","Yemen","asyem","yem",69679312,2024
"Asia","as","British Indian Ocean Territory","asiot","iot",4840,2024
"Europe","eu","Cyprus","ascyp","cyp",30657302,2024
"Europe","eu","Bulgaria","eubgr","bgr",385141826,2024
"Europe","eu","Belarus","eublr","blr",4001313,2024
"Europe","eu","Czechia","eucze","cze",713364087,2024
"Europe","eu","Hungary","euhun","hun",1333515277,2024
"Europe","eu","Moldova","eumda","mda",51018088,2024
"Europe","eu","Poland","eupol","pol",1402450054,2024
